neighborhood,img_name,pixel_count,pixel_proportion
WR C,T9 W_Edited.PNG,192717,2.47033
Dedham A,T1 E_Edited.PNG,790840,10.13732
Dedham A,T1 S_Edited.PNG,49602,0.63582
Dedham A,T1 W_Edited.PNG,1054,0.01351
Dedham A,T10 E_Edited.PNG,293415,3.76112
Dedham A,T10 N_Edited.PNG,1078842,13.82905
Dedham A,T10 S_Edited.PNG,1242928,15.93237
Dedham A,T10 W_Edited.PNG,740092,9.48681
Dedham A,T2 E_Edited.PNG,312240,4.00242
Dedham A,T2 N_Edited.PNG,82325,1.05528
Dedham A,T2 S_Edited.PNG,65409,0.83844
Dedham A,T2 W_Edited.PNG,41998,0.53835
Dedham A,T3 E_Edited.PNG,244462,3.13362
Dedham A,T3 N(1)_Edited.PNG,504993,6.47321
Dedham A,T3 N_Edited.PNG,873269,11.19393
Dedham A,T3 S_Edited.PNG,133663,1.71335
Dedham A,T3 W_Edited.PNG,257689,3.30317
Dedham A,T4 E_Edited.PNG,797773,10.22619
Dedham A,T4 N_Edited.PNG,563485,7.22299
Dedham A,T4 S_Edited.PNG,74126,0.95018
Dedham A,T4 W_Edited.PNG,999961,12.81792
Dedham A,T5 E_Edited.PNG,656631,8.41697
Dedham A,T5 N_Edited.PNG,577503,7.40267
Dedham A,T5 S_Edited.PNG,634923,8.13871
Dedham A,T5 W_Edited.PNG,468755,6.0087
Dedham A,T6 E_Edited.PNG,789716,10.12291
Dedham A,T6 N_Edited.PNG,293523,3.7625
Dedham A,T6 S_Edited.PNG,898450,11.51671
Dedham A,T6 W_Edited.PNG,477479,6.12053
Dedham A,T7 E_Edited.PNG,248264,3.18235
Dedham A,T7 N_Edited.PNG,653811,8.38082
Dedham A,T7 S_Edited.PNG,15916,0.20402
Dedham A,T7 W_Edited.PNG,504587,6.46801
Dedham A,T8 E_Edited.PNG,898790,11.52107
Dedham A,T8 N_Edited.PNG,758432,9.7219
Dedham A,T8 S_Edited.PNG,769852,9.86828
Dedham A,T8 W_Edited.PNG,799410,10.24717
Dedham A,T9 E_Edited.PNG,950481,12.18366
Dedham A,T9 N_Edited.PNG,1286584,16.49197
Dedham A,T9 S_Edited.PNG,93590,1.19968
Dedham A,T9 W_Edited.PNG,1239076,15.88299
Dedham B,IMG_2988_Edited.PNG,221418,2.83823
Dedham B,IMG_2989_Edited.PNG,48756,0.62497
Dedham B,IMG_2990_Edited.PNG,165957,2.12731
Dedham B,IMG_2991_Edited.PNG,218813,2.80484
